Sample	Taxonomy	Count
BiolstdM100XDilBC10e4mine	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Rhodobacterales(1.00),f:Rhodobacteraceae(1.00),g:Roseovarius(0.74),s:Roseovarius mucosus(0.68)	13
BiolstdM100XDilBC10e4mine	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(1.00),f:OM182 clade(1.00),g:uncultured gamma proteobacterium(0.83)	13
BiolstdM100XDilBC10e4mine	k:Bacteria(1.00),p:Bacteroidota(1.00),c:Bacteroidia(1.00),o:Cytophagales(1.00),f:Cyclobacteriaceae(1.00),g:Fabibacter(0.90),s:uncultured bacterium(0.33)	12
BiolstdM100XDilBC10e4mine	k:Bacteria(1.00),p:Bacteroidota(1.00),c:Bacteroidia(1.00),o:Cytophagales(1.00),f:Cyclobacteriaceae(1.00),g:Marinoscillum(1.00),s:bacterium DG873(0.57)	12
BiolstdM100XDilBC10e4mine	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Rhodobacterales(1.00),f:Rhodobacteraceae(1.00),g:Planktotalea(0.14),s:Rhodobacteraceae bacterium DG1250(0.14)	10
BiolstdM100XDilBC10e4mine	k:Bacteria(1.00),p:Bacteroidota(1.00),c:Bacteroidia(1.00),o:Chitinophagales(1.00),f:Saprospiraceae(1.00),g:Phaeodactylibacter(1.00),s:Phaeodactylibacter xiamenensis(0.81)	9
BiolstdM100XDilBC10e4mine	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Burkholderiales(1.00),f:Burkholderiaceae(0.97),g:Limnobacter(0.96),s:uncultured organism(0.72)	9
BiolstdM100XDilBC10e4mine	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Rhodospirillales(1.00),f:Magnetospiraceae(1.00),g:uncultured(1.00),s:uncultured marine bacterium(0.47)	8
BiolstdM100XDilBC10e4mine	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(1.00),f:Saccharospirillaceae(1.00),g:Saccharospirillum(1.00),s:Saccharospirillum sp. XCD-X5(0.99)	8
BiolstdM100XDilBC10e4mine	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(0.93),f:SAR86 clade(0.93),g:uncultured gamma proteobacterium(0.93)	6
BiolstdM100XDilBC10e4mine	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Burkholderiales(1.00),f:Comamonadaceae(1.00),g:Acidovorax(0.68),s:iron-reducing bacterium enrichment culture clone FEA_2_G5(0.67)	3
BiolstdM100XDilBC10e4mine	k:Bacteria(1.00),p:Actinobacteriota(1.00),c:Actinobacteria(1.00),o:Micrococcales(1.00),f:Microbacteriaceae(1.00),g:Agrococcus(0.99),s:Agrococcus jenensis(0.24)	2
BiolstdM100XDilBC10e4mine	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Nitrosococcales(1.00),f:Methylophagaceae(1.00),g:Methylophaga(1.00),s:uncultured bacterium(1.00)	2
BiolstdM100XDilBC10e4mine	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(1.00),f:Porticoccaceae(0.99),g:C1-B045(0.99),s:uncultured bacterium(0.93)	2
BiolstdM100XDilBC10e4mine	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Salinisphaerales(1.00),f:Solimonadaceae(1.00),g:Polycyclovorans(1.00),s:uncultured Solimonas sp.(1.00)	2
BiolstdM100XDilBC10e4mine	k:Bacteria(1.00),p:Bacteroidota(1.00),c:Bacteroidia(1.00),o:Bacteroidales(1.00),f:Paludibacteraceae(1.00),g:uncultured(0.98),s:uncultured bacterium(1.00)	1
BiolstdM100XDilBC10e4mine	k:Bacteria(1.00),p:Bacteroidota(1.00),c:Bacteroidia(1.00),o:Cytophagales(1.00),f:Cyclobacteriaceae(1.00),g:Marinoscillum(1.00),s:uncultured bacterium(1.00)	1
BiolstdM100XDilBC10e4mine	k:Bacteria(1.00),p:Campylobacterota(1.00),c:Campylobacteria(1.00),o:Campylobacterales(1.00),f:Arcobacteraceae(1.00),g:uncultured(0.92),s:uncultured bacterium(0.67)	1
BiolstdM100XDilBC10e4mine	k:Bacteria(1.00),p:Cyanobacteria(0.90),c:Cyanobacteriia(0.90),o:Chloroplast(0.90),f:uncultured bacterium(0.14)	1
BiolstdM100XDilBC10e4mine	k:Bacteria(1.00),p:Cyanobacteria(1.00),c:Vampirivibrionia(1.00),o:Gastranaerophilales(1.00),f:uncultured bacterium(1.00)	1
BiolstdM100XDilBC10e4mine	k:Bacteria(1.00),p:Desulfobacterota(1.00),c:Desulfuromonadia(1.00),o:Geobacterales(1.00),f:Geobacteraceae(1.00),g:Geobacter(1.00),s:uncultured bacterium(1.00)	1
BiolstdM100XDilBC10e4mine	k:Bacteria(1.00),p:Firmicutes(1.00),c:Bacilli(1.00),o:Staphylococcales(1.00),f:Staphylococcaceae(1.00),g:Staphylococcus(1.00),s:Staphylococcus sp. ECH3(0.93)	1
BiolstdM100XDilBC10e4mine	k:Bacteria(1.00),p:Firmicutes(1.00),c:Clostridia(1.00),o:Clostridia UCG-014(1.00),f:uncultured bacterium(1.00)	1
BiolstdM100XDilBC10e4mine	k:Bacteria(1.00),p:Planctomycetota(0.97),c:Phycisphaerae(0.97),o:Phycisphaerales(0.97),f:Phycisphaeraceae(0.97),g:SM1A02(0.91),s:uncultured bacterium(0.90)	1
BiolstdM100XDilBC10e4mine	k:Bacteria(1.00),p:Proteobacteria(0.87),c:Gammaproteobacteria(0.85),o:Pseudomonadales(0.58),f:SAR86 clade(0.54),g:uncultured gamma proteobacterium(0.54)	1
BiolstdM100XDilBC10e4mine	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Caulobacterales(1.00),f:Hyphomonadaceae(1.00),g:Hyphobacterium(1.00),s:bacterium p14(0.22)	1
BiolstdM100XDilBC10e4mine	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Rhodobacterales(1.00),f:Rhodobacteraceae(1.00),g:Marivita(0.99),s:uncultured bacterium(0.99)	1
BiolstdM100XDilBC10e4mine	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Sphingomonadales(1.00),f:Sphingomonadaceae(1.00),g:uncultured(0.11),s:uncultured Porphyrobacter sp.(0.40)	1
BiolstdM100XDilBC10e4mine	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Thalassobaculales(1.00),f:Thalassobaculaceae(1.00),g:Thalassobaculum(1.00),s:bacterium DG949(1.00)	1
BiolstdM10XDilBC10e4fluo	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Burkholderiales(1.00),f:Methylophilaceae(1.00),g:Methylotenera(1.00),s:uncultured bacterium(1.00)	18
BiolstdM10XDilBC10e4fluo	k:Bacteria(1.00),p:Bacteroidota(1.00),c:Bacteroidia(1.00),o:Flavobacteriales(1.00),f:Cryomorphaceae(1.00),g:Owenweeksia(1.00),s:uncultured Owenweeksia sp.(0.71)	4
BiolstdM10XDilBC10e4fluo	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(1.00),f:OM182 clade(1.00),g:uncultured gamma proteobacterium(0.83)	3
BiolstdM10XDilBC10e4fluo	k:Bacteria(0.27),p:Proteobacteria(0.21),c:Gammaproteobacteria(0.07),o:Xanthomonadales(0.07),f:Xanthomonadaceae(0.07),g:Stenotrophomonas(0.07),s:uncultured bacterium(0.07)	2
BiolstdM10XDilBC10e4fluo	k:Bacteria(1.00),p:Firmicutes(1.00),c:Clostridia(1.00),o:Clostridia vadinBB60 group(0.97),f:uncultured bacterium(0.97)	2
BiolstdM10XDilBC10e4fluo	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(0.99),f:Spongiibacteraceae(0.99),g:Litorivivens(0.99),s:Litorivivens aequoris(0.99)	2
BiolstdM10XDilBC10e4fluo	k:Bacteria(1.00),p:Acidobacteriota(0.28),c:Blastocatellia(0.25),o:Pyrinomonadales(0.25),f:Pyrinomonadaceae(0.25),g:RB41(0.25),s:uncultured bacterium(0.28)	1
BiolstdM10XDilBC10e4fluo	k:Bacteria(1.00),p:Bacteroidota(0.95),c:Rhodothermia(0.95),o:Balneolales(0.95),f:Balneolaceae(0.95),g:Balneola(0.92),s:uncultured bacterium(0.85)	1
BiolstdM10XDilBC10e4fluo	k:Bacteria(1.00),p:Bacteroidota(1.00),c:Bacteroidia(1.00),o:Bacteroidales(1.00),f:Paludibacteraceae(1.00),g:uncultured(0.98),s:uncultured bacterium(1.00)	1
BiolstdM10XDilBC10e4fluo	k:Bacteria(1.00),p:Bacteroidota(1.00),c:Bacteroidia(1.00),o:Chitinophagales(1.00),f:Saprospiraceae(1.00),g:Phaeodactylibacter(1.00),s:Phaeodactylibacter xiamenensis(0.81)	1
BiolstdM10XDilBC10e4fluo	k:Bacteria(1.00),p:Bacteroidota(1.00),c:Rhodothermia(1.00),o:Balneolales(1.00),f:Balneolaceae(1.00),g:Balneola(1.00),s:uncultured bacterium(1.00)	1
BiolstdM10XDilBC10e4fluo	k:Bacteria(1.00),p:Campylobacterota(1.00),c:Campylobacteria(1.00),o:Campylobacterales(1.00),f:Arcobacteraceae(1.00),g:uncultured(0.92),s:uncultured bacterium(0.67)	1
BiolstdM10XDilBC10e4fluo	k:Bacteria(1.00),p:Firmicutes(1.00),c:Bacilli(1.00),o:Lactobacillales(1.00),f:Carnobacteriaceae(0.97),g:Granulicatella(0.97),s:uncultured bacterium(0.89)	1
